x-axis,1,2,3
second,Volt,Volt,Volt
+27.08000E-03,+1.88125002E+00,+2.09375000E+00,+2.06824994E+00
+27.09000E-03,+1.85000002E+00,+1.96875000E+00,+1.97449994E+00
+27.10000E-03,+1.91250002E+00,+1.87500000E+00,+1.88074994E+00
+27.11000E-03,+1.88125002E+00,+1.84375000E+00,+1.81824994E+00
+27.12000E-03,+1.85000002E+00,+1.81250000E+00,+1.84949994E+00
+27.13000E-03,+1.78750002E+00,+1.84375000E+00,+1.81824994E+00
+27.14000E-03,+1.75625002E+00,+1.84375000E+00,+1.84949994E+00
+27.15000E-03,+1.75625002E+00,+1.84375000E+00,+1.78699994E+00
+27.16000E-03,+1.69375002E+00,+1.78125000E+00,+1.81824994E+00
+27.17000E-03,+1.72500002E+00,+1.78125000E+00,+1.75574994E+00
+27.18000E-03,+1.63125002E+00,+1.68750000E+00,+1.72449994E+00
+27.19000E-03,+1.56875002E+00,+1.68750000E+00,+1.66199994E+00
+27.20000E-03,+1.53750002E+00,+1.62500000E+00,+1.59949994E+00
+27.21000E-03,+1.47500002E+00,+1.59375000E+00,+1.53699994E+00
+27.22000E-03,+1.44375002E+00,+1.53125000E+00,+1.50574994E+00
+27.23000E-03,+1.38125002E+00,+1.43750000E+00,+1.41199994E+00
+27.24000E-03,+1.31875002E+00,+1.40625000E+00,+1.38074994E+00
+27.25000E-03,+1.22500002E+00,+1.34375000E+00,+1.31824994E+00
+27.26000E-03,+1.16250002E+00,+1.28125000E+00,+1.25574994E+00
+27.27000E-03,+1.10000002E+00,+1.21875000E+00,+1.19324994E+00
+27.28000E-03,+1.06875002E+00,+1.12500000E+00,+1.09949994E+00
+27.29000E-03,+975.00002E-03,+1.06250000E+00,+1.03699994E+00
+27.30000E-03,+912.50002E-03,+968.75000E-03,+974.49994E-03
+27.31000E-03,+850.00002E-03,+906.25000E-03,+911.99994E-03
+27.32000E-03,+818.75002E-03,+875.00000E-03,+911.99994E-03
+27.33000E-03,+756.25002E-03,+812.50000E-03,+818.24994E-03
+27.34000E-03,+725.00002E-03,+781.25000E-03,+755.74994E-03
+27.35000E-03,+662.50002E-03,+718.75000E-03,+724.49994E-03
+27.36000E-03,+693.75002E-03,+718.75000E-03,+724.49994E-03
+27.37000E-03,+693.75002E-03,+718.75000E-03,+693.24994E-03
+27.38000E-03,+693.75002E-03,+687.50000E-03,+693.24994E-03
+27.39000E-03,+725.00002E-03,+718.75000E-03,+724.49994E-03
+27.40000E-03,+818.75002E-03,+687.50000E-03,+755.74994E-03
+27.41000E-03,+881.25002E-03,+812.50000E-03,+786.99994E-03
+27.42000E-03,+943.75002E-03,+843.75000E-03,+880.74994E-03
+27.43000E-03,+1.03750002E+00,+937.50000E-03,+974.49994E-03
+27.44000E-03,+1.16250002E+00,+1.03125000E+00,+1.06824994E+00
+27.45000E-03,+1.31875002E+00,+1.12500000E+00,+1.19324994E+00
+27.46000E-03,+1.47500002E+00,+1.25000000E+00,+1.34949994E+00
+27.47000E-03,+1.63125002E+00,+1.43750000E+00,+1.47449994E+00
+27.48000E-03,+1.75625002E+00,+1.56250000E+00,+1.63074994E+00
+27.49000E-03,+1.91250002E+00,+1.71875000E+00,+1.81824994E+00
+27.50000E-03,+2.06875002E+00,+1.90625000E+00,+1.94324994E+00
+27.51000E-03,+2.19375002E+00,+2.06250000E+00,+2.13074994E+00
+27.52000E-03,+2.31875002E+00,+2.18750000E+00,+2.25574994E+00
+27.53000E-03,+2.41250002E+00,+2.31250000E+00,+2.38074994E+00
+27.54000E-03,+2.47500002E+00,+2.46875000E+00,+2.47449994E+00
+27.55000E-03,+2.53750002E+00,+2.53125000E+00,+2.56824994E+00
+27.56000E-03,+2.53750002E+00,+2.59375000E+00,+2.63074994E+00
+27.57000E-03,+2.50625002E+00,+2.62500000E+00,+2.63074994E+00
+27.58000E-03,+2.44375002E+00,+2.59375000E+00,+2.59949994E+00
+27.59000E-03,+2.35000002E+00,+2.53125000E+00,+2.50574994E+00
+27.60000E-03,+2.22500002E+00,+2.43750000E+00,+2.44324994E+00
+27.61000E-03,+2.06875002E+00,+2.31250000E+00,+2.25574994E+00
+27.62000E-03,+1.85000002E+00,+2.12500000E+00,+2.09949994E+00
+27.63000E-03,+1.66250002E+00,+1.96875000E+00,+1.94324994E+00
+27.64000E-03,+1.44375002E+00,+1.75000000E+00,+1.66199994E+00
+27.65000E-03,+1.25625002E+00,+1.53125000E+00,+1.47449994E+00
+27.66000E-03,+1.10000002E+00,+1.31250000E+00,+1.25574994E+00
+27.67000E-03,+912.50002E-03,+1.09375000E+00,+1.03699994E+00
+27.68000E-03,+818.75002E-03,+937.50000E-03,+880.74994E-03
+27.69000E-03,+693.75002E-03,+781.25000E-03,+755.74994E-03
+27.70000E-03,+693.75002E-03,+687.50000E-03,+630.74994E-03
+27.71000E-03,+693.75002E-03,+625.00000E-03,+630.74994E-03
+27.72000E-03,+818.75002E-03,+656.25000E-03,+661.99994E-03
+27.73000E-03,+912.50002E-03,+750.00000E-03,+755.74994E-03
+27.74000E-03,+1.10000002E+00,+843.75000E-03,+911.99994E-03
+27.75000E-03,+1.35000002E+00,+1.03125000E+00,+1.06824994E+00
+27.76000E-03,+1.56875002E+00,+1.18750000E+00,+1.31824994E+00
+27.77000E-03,+1.81875002E+00,+1.46875000E+00,+1.56824994E+00
+27.78000E-03,+2.06875002E+00,+1.75000000E+00,+1.81824994E+00
+27.79000E-03,+2.22500002E+00,+1.96875000E+00,+2.09949994E+00
+27.80000E-03,+2.35000002E+00,+2.21875000E+00,+2.28699994E+00
+27.81000E-03,+2.47500002E+00,+2.40625000E+00,+2.50574994E+00
+27.82000E-03,+2.53750002E+00,+2.56250000E+00,+2.63074994E+00
+27.83000E-03,+2.47500002E+00,+2.62500000E+00,+2.66199994E+00
+27.84000E-03,+2.38125002E+00,+2.62500000E+00,+2.59949994E+00
+27.85000E-03,+2.19375002E+00,+2.56250000E+00,+2.50574994E+00
+27.86000E-03,+1.97500002E+00,+2.40625000E+00,+2.34949994E+00
+27.87000E-03,+1.72500002E+00,+2.15625000E+00,+2.06824994E+00
+27.88000E-03,+1.47500002E+00,+1.87500000E+00,+1.81824994E+00
+27.89000E-03,+1.16250002E+00,+1.59375000E+00,+1.50574994E+00
+27.90000E-03,+943.75002E-03,+1.25000000E+00,+1.19324994E+00
+27.91000E-03,+818.75002E-03,+1.03125000E+00,+943.24994E-03
+27.92000E-03,+693.75002E-03,+781.25000E-03,+755.74994E-03
+27.93000E-03,+693.75002E-03,+625.00000E-03,+599.49994E-03
+27.94000E-03,+725.00002E-03,+562.50000E-03,+599.49994E-03
+27.95000E-03,+943.75002E-03,+625.00000E-03,+661.99994E-03
+27.96000E-03,+1.13125002E+00,+750.00000E-03,+849.49994E-03
+27.97000E-03,+1.47500002E+00,+1.00000000E+00,+1.09949994E+00
+27.98000E-03,+1.69375002E+00,+1.28125000E+00,+1.38074994E+00
+27.99000E-03,+2.06875002E+00,+1.62500000E+00,+1.75574994E+00
+28.00000E-03,+2.25625002E+00,+1.93750000E+00,+2.06824994E+00
+28.01000E-03,+2.44375002E+00,+2.25000000E+00,+2.34949994E+00
+28.02000E-03,+2.53750002E+00,+2.50000000E+00,+2.56824994E+00
+28.03000E-03,+2.47500002E+00,+2.62500000E+00,+2.69324994E+00
+28.04000E-03,+2.41250002E+00,+2.68750000E+00,+2.72449994E+00
+28.05000E-03,+2.16250002E+00,+2.62500000E+00,+2.59949994E+00
+28.06000E-03,+1.91250002E+00,+2.40625000E+00,+2.34949994E+00
+28.07000E-03,+1.63125002E+00,+2.12500000E+00,+2.03699994E+00
+28.08000E-03,+1.28750002E+00,+1.78125000E+00,+1.69324994E+00
+28.09000E-03,+1.00625002E+00,+1.43750000E+00,+1.28699994E+00
+28.10000E-03,+818.75002E-03,+1.03125000E+00,+1.00574994E+00
+28.11000E-03,+662.50002E-03,+781.25000E-03,+693.24994E-03
+28.12000E-03,+725.00002E-03,+625.00000E-03,+599.49994E-03
+28.13000E-03,+818.75002E-03,+531.25000E-03,+536.99994E-03
+28.14000E-03,+1.03750002E+00,+625.00000E-03,+693.24994E-03
+28.15000E-03,+1.41250002E+00,+843.75000E-03,+943.24994E-03
+28.16000E-03,+1.69375002E+00,+1.15625000E+00,+1.28699994E+00
+28.17000E-03,+2.03750002E+00,+1.53125000E+00,+1.69324994E+00
+28.18000E-03,+2.28750002E+00,+1.93750000E+00,+2.09949994E+00
+28.19000E-03,+2.47500002E+00,+2.28125000E+00,+2.41199994E+00
+28.20000E-03,+2.50625002E+00,+2.56250000E+00,+2.66199994E+00
+28.21000E-03,+2.41250002E+00,+2.71875000E+00,+2.72449994E+00
+28.22000E-03,+2.22500002E+00,+2.68750000E+00,+2.66199994E+00
+28.23000E-03,+1.94375002E+00,+2.56250000E+00,+2.44324994E+00
+28.24000E-03,+1.56875002E+00,+2.21875000E+00,+2.13074994E+00
+28.25000E-03,+1.22500002E+00,+1.87500000E+00,+1.69324994E+00
+28.26000E-03,+975.00002E-03,+1.43750000E+00,+1.22449994E+00
+28.27000E-03,+756.25002E-03,+1.03125000E+00,+880.74994E-03
+28.28000E-03,+693.75002E-03,+718.75000E-03,+599.49994E-03
